subject,beginhit,beginexp,endhit,bonus,browser,platform,codeversion,status,postquiz_difficulty,postquiz_engagement,postquiz_gender,postquiz_dob,postquiz_experience,postquiz_comments,age_yrs,total_time_s
1,2020-07-13T14:53:22Z,2020-07-13T14:53:57Z,2020-07-13T16:18:41Z,0.21,chrome,windows,0.0.7,7,6,7,male,1987-08-10,6,good,32.891,5119
2,2020-07-10T15:59:06Z,2020-07-10T16:06:56Z,2020-07-10T17:09:20Z,0.5,chrome,windows,0.0.7,7,7,6,male,1993-11-05,none,no it is very interesting,26.653,4214
3,2020-07-10T17:19:07Z,2020-07-10T17:38:25Z,2020-07-10T19:09:35Z,0.47,chrome,windows,0.0.7,7,6,6,male,1989-12-26,very useful to the task instruction function,good,30.514,6628
4,2020-07-10T17:35:31Z,2020-07-10T17:39:41Z,2020-07-10T18:32:41Z,0.42,chrome,windows,0.0.7,7,7,7,male,1984-02-02,to be a better developer,very good survey,36.41,3430
5,2020-07-13T14:15:30Z,2020-07-13T14:24:34Z,2020-07-13T15:08:40Z,0.32,chrome,windows,0.0.7,7,4,4,female,1994-03-30,1,nothing,26.255,3190
6,2020-07-14T17:15:44Z,2020-07-14T17:27:51Z,2020-07-14T18:05:41Z,0.4,chrome,windows,0.0.7,7,4,4,male,1962-08-12,no,no,57.885,2997
7,2020-07-10T20:23:28Z,2020-07-10T20:23:46Z,2020-07-10T21:22:25Z,0.45,chrome,windows,0.0.7,7,3,4,male,1989-12-24,A programming for the best presented in the computer.,good,30.519,3537
8,2020-07-13T13:29:29Z,2020-07-13T14:58:17Z,2020-07-13T15:43:20Z,0.23,chrome,windows,0.0.7,7,1,4,male,1985-12-23,good,NA,34.522,8031
9,2020-07-14T15:40:19Z,2020-07-14T15:45:15Z,2020-07-14T17:00:26Z,0.31,chrome,windows,0.0.7,7,6,7,male,1967-02-25,1,NA,53.347,4807
10,2020-07-09T02:11:34Z,2020-07-09T02:24:42Z,2020-07-09T03:05:14Z,0.11,chrome,windows,0.0.6,7,7,7,male,1983-06-02,nice,good,37.079,3220
11,2020-07-14T16:17:40Z,2020-07-14T16:20:17Z,2020-07-14T17:09:13Z,0.82,chrome,chromeos,0.0.7,7,4,6,male,1992-05-22,"None, I dropped out of my coding class in college because it was too hard lol","No technical difficulties, just subtraction difficulties because I'm dumb lol, everything worked well though :)",28.11,3093
12,2020-07-14T15:38:24Z,2020-07-14T15:44:52Z,2020-07-14T17:23:20Z,0.63,chrome,windows,0.0.7,7,2,4,male,1987-02-06,professional developer,no,33.399,6296
13,2020-07-14T18:30:49Z,2020-07-14T18:33:15Z,2020-07-14T19:17:25Z,0.1,chrome,windows,0.0.7,7,7,7,female,NA,1,nice,NA,2796
14,2020-07-14T22:42:09Z,2020-07-14T23:02:09Z,2020-07-15T00:16:38Z,0.35,chrome,macos,0.0.7,7,6,7,male,1981-10-10,done,Good,38.724,5669
15,2020-07-08T17:25:42Z,2020-07-08T17:29:16Z,2020-07-08T17:58:39Z,0.48,chrome,chromeos,0.0.6,7,5,7,male,1985-11-19,very very little,it was good. I would recommend it for sure,34.615,1977
16,2020-07-08T23:37:06Z,2020-07-08T23:37:26Z,2020-07-08T23:57:31Z,0,chrome,windows,0.0.6,5,2,2,male,NA,very easily,none,NA,1225
17,2020-07-14T19:10:36Z,2020-07-14T19:15:20Z,2020-07-14T21:03:47Z,0.71,chrome,windows,0.0.7,7,7,6,male,1984-05-11,none,It was a challenging HIT. I would recommend it to others.,36.14,6791
18,2020-07-10T17:23:50Z,2020-07-10T17:23:59Z,2020-07-10T17:52:34Z,0.05,chrome,windows,0.0.7,7,5,5,female,1999-07-03,nothing,good well,20.995,1724
19,2020-07-08T16:59:38Z,2020-07-08T17:15:01Z,2020-07-08T18:15:24Z,0.72,chrome,windows,0.0.6,7,4,7,female,1968-03-16,"I took a few computer programming classes in college, but only beginner courses.","The hit went fine.  Thank you!  I found it fun, like solving a puzzle.",52.293,4546
20,2020-07-10T18:45:04Z,2020-07-10T18:50:23Z,2020-07-10T20:11:47Z,0.8,chrome,windows,0.0.7,7,4,7,female,1975-06-18,none,the hit was too good and intresting and like to complete it again,45.036,5203
21,2020-07-08T16:51:56Z,2020-07-08T17:00:46Z,2020-07-08T17:43:29Z,0.23,chrome,windows,0.0.6,7,7,7,female,1989-07-08,50,very well,30.981,3093
22,2020-07-10T15:37:16Z,2020-07-10T15:41:39Z,2020-07-10T16:43:56Z,0.6,chrome,windows,0.0.7,7,7,6,male,1982-06-01,none,no,38.082,4000
23,2020-07-10T15:38:14Z,2020-07-10T15:41:53Z,2020-07-10T17:12:55Z,0.75,chrome,windows,0.0.7,7,2,4,male,1984-10-12,very easy for me,Very interesting,35.719,5681
24,2020-07-14T21:34:21Z,2020-07-14T21:34:34Z,2020-07-14T23:59:15Z,0.53,chrome,windows,0.0.7,7,6,4,male,1982-03-25,i will try my best,no technical problems,38.268,8694
25,2020-07-08T21:51:14Z,2020-07-08T22:14:17Z,2020-07-08T23:53:26Z,0.42,chrome,windows,0.0.6,5,4,5,female,1991-01-06,App developer,Good and useful. No issue in survey,29.484,7332
26,2020-07-14T21:35:49Z,2020-07-14T21:36:04Z,2020-07-14T22:37:29Z,0.69,chrome,windows,0.0.7,7,6,7,female,1988-07-14,nothing,good survey,31.964,3700
27,2020-07-10T15:38:22Z,2020-07-10T16:03:21Z,2020-07-10T18:29:48Z,0.83,chrome,windows,0.0.7,7,4,7,male,1988-10-11,none,no technical difficulties. very engaging and fun to work with numbers. would recommend it,31.721,10286
28,2020-07-13T14:29:01Z,2020-07-13T15:07:46Z,2020-07-13T15:40:16Z,0.52,chrome,windows,0.0.7,7,4,4,male,1992-07-15,None,good,27.962,4275
29,2020-07-14T15:49:21Z,2020-07-14T15:51:43Z,2020-07-14T17:03:21Z,0.7,chrome,windows,0.0.7,7,4,3,female,1991-06-05,none,good work,29.071,4440
30,2020-07-13T14:25:25Z,2020-07-13T14:29:09Z,2020-07-13T15:54:58Z,0.53,chrome,windows,0.0.7,7,4,6,male,1957-02-26,104,good,63.344,5373
31,2020-07-13T13:55:10Z,2020-07-13T14:23:49Z,2020-07-13T15:46:36Z,0.61,chrome,windows,0.0.7,7,4,7,male,1985-04-11,c and c++,Nice survey,35.222,6686
32,2020-07-08T19:56:17Z,2020-07-08T20:00:58Z,2020-07-08T20:38:52Z,0.1,chrome,windows,0.0.6,7,6,4,male,NA,none.,no,NA,2555
33,2020-07-14T16:47:26Z,2020-07-14T16:56:16Z,2020-07-14T17:32:35Z,0.03,chrome,windows,0.0.7,7,3,4,male,1999-04-19,good,nothing,21.2,2709
34,2020-07-10T19:13:34Z,2020-07-10T19:17:43Z,2020-07-10T19:55:00Z,0.5,chrome,windows,0.0.7,7,6,5,male,1989-03-01,"I majored in Information Systems in college. So I did many programming classes for my education, but I haven't actually done any programming in around 7 years so I have forgotten a lot of it.","It was frustrating when I couldn't find out any pattern at all. Especially since I was worried I would be rejected for just guessing on the sets that I literally had 0 idea on since we were threatened with rejections for not putting forth effort. I really was trying, but there were some sets that I had absolutely zero clue and was just guessing. I would recommend it to others if they are willing to be frustrated. It was fun solving the sets that I could actually find a pattern for.",31.334,2486
35,2020-07-08T16:57:48Z,2020-07-08T17:04:13Z,2020-07-08T18:25:43Z,0.5,chrome,windows,0.0.6,7,3,7,male,1975-08-24,NONE,NICE HIT.I ENJOYED WELL.THANKS FOR INVITE ME.,44.852,5275
36,2020-07-08T16:51:02Z,2020-07-08T16:54:05Z,2020-07-08T17:42:03Z,0.17,chrome,windows,0.0.6,7,6,6,female,1981-01-01,none,"hard, but no difficulties",39.497,3061
37,2020-07-08T18:22:49Z,2020-07-08T18:44:07Z,2020-07-08T19:54:48Z,0.03,chrome,windows,0.0.6,7,5,4,female,1973-07-19,110,"nothing to else but i don,t know some rules",46.951,5519
38,2020-07-13T14:20:30Z,2020-07-13T14:28:34Z,2020-07-13T15:51:39Z,0.04,chrome,windows,0.0.7,7,2,2,female,1984-09-06,good,nothing,35.817,5469
39,2020-07-10T17:34:09Z,2020-07-10T17:35:09Z,2020-07-10T18:05:39Z,0.65,chrome,macos,0.0.7,7,5,6,female,1988-08-03,None,N/A,31.91,1890
40,2020-07-14T16:13:33Z,2020-07-14T16:13:43Z,2020-07-14T16:30:34Z,0.28,chrome,windows,0.0.7,7,NA,5,male,1985-12-18,good,good,34.536,1021
41,2020-07-14T20:10:58Z,2020-07-14T20:26:22Z,2020-07-14T20:51:24Z,0.01,chrome,windows,0.0.7,7,6,6,male,1990-02-09,Computer Information Systems Classes That Focus On Hands-On Learning. Engineering Technology. Transfer Credits. Computer Networking. Graduate Certificates. Nationwide Locations.,good,30.391,2426
42,2020-07-10T16:23:54Z,2020-07-10T16:34:48Z,2020-07-10T16:49:15Z,0.01,chrome,windows,0.0.7,7,4,3,male,1998-07-14,THE HIT VERY NICE PROGRAMMING,VERY NICE,21.964,1521
43,2020-07-10T15:39:00Z,2020-07-10T15:44:28Z,2020-07-10T16:50:14Z,0.47,chrome,windows,0.0.7,7,5,7,female,1969-02-01,None,No difficulties,51.413,4274
44,2020-07-14T13:34:02Z,2020-07-14T13:34:55Z,2020-07-14T14:50:28Z,0.52,chrome,windows,0.0.7,7,4,5,male,1979-11-23,ten,i like this survey,40.604,4586
45,2020-07-13T14:23:50Z,2020-07-13T14:33:26Z,2020-07-13T15:23:14Z,0.52,chrome,windows,0.0.7,7,4,4,NA,1988-08-25,Software programmer,Nothing,31.85,3564
46,2020-07-08T17:05:55Z,2020-07-08T17:18:50Z,2020-07-08T18:06:31Z,0.58,chrome,windows,0.0.6,7,3,2,female,1980-07-13,none,none,39.967,3636
47,2020-07-15T02:31:46Z,2020-07-15T02:32:47Z,2020-07-15T04:26:32Z,0.43,chrome,windows,0.0.7,5,2,7,male,1998-07-13,"i am honestly , i know very good",very good,21.967,6886
48,2020-07-08T18:35:10Z,2020-07-08T18:37:14Z,2020-07-08T19:20:10Z,0.7,chrome,windows,0.0.6,7,6,7,male,1975-03-08,Did light website updating over a decade ago.  I work in Tech support and got an MCSE in 2002 but haven't really done any programming per se.  I do edit settings in computers but this is simple .txt editing oftentimes.,Intense but enjoyable (when not frustrating ;)  No technical issues.  I would recommend it as long as people can think analytically and aren't scared of numbers.,45.315,2700
49,2020-07-14T18:30:53Z,2020-07-14T18:31:20Z,2020-07-14T19:02:00Z,0,chrome,windows,0.0.7,5,6,2,male,1988-03-08,10,no,32.315,1867
50,2020-07-13T13:19:20Z,2020-07-13T14:22:52Z,2020-07-13T15:58:25Z,0.63,chrome,windows,0.0.7,7,5,6,female,1984-08-10,good,no,35.891,9545
51,2020-07-14T18:46:11Z,2020-07-14T18:52:06Z,2020-07-14T19:59:03Z,0.36,chrome,windows,0.0.7,7,5,4,female,1999-09-01,40,good,20.831,4372
52,2020-07-10T18:40:05Z,2020-07-10T18:41:45Z,2020-07-10T19:50:58Z,0.07,chrome,windows,0.0.7,7,5,4,male,1980-05-13,good,good,40.134,4253
53,2020-07-13T14:36:16Z,2020-07-13T14:41:14Z,2020-07-13T16:15:14Z,0.34,chrome,windows,0.0.7,7,7,7,male,NA,50,very well,NA,5938
54,2020-07-14T18:42:29Z,2020-07-14T18:45:05Z,2020-07-14T20:55:58Z,0.31,chrome,windows,0.0.7,7,6,7,male,NA,very good,none,NA,8009
55,2020-07-10T18:27:51Z,2020-07-10T18:29:28Z,2020-07-10T18:58:43Z,0.67,chrome,chromeos,0.0.7,7,5,6,male,1985-06-16,None,"Interesting and challenging, thanks!",35.041,1852
56,2020-07-08T17:15:26Z,2020-07-08T17:32:52Z,2020-07-08T17:49:36Z,0,chrome,windows,0.0.6,5,2,2,female,NA,very useful,none,NA,2050
57,2020-07-14T16:19:51Z,2020-07-14T16:22:25Z,2020-07-14T17:03:39Z,0.71,chrome,windows,0.0.7,7,6,7,female,1975-05-08,None,"It was hard, but really fun to do. I would recommend it to others.",45.148,2628
58,2020-07-10T15:49:25Z,2020-07-10T16:07:32Z,2020-07-10T17:16:54Z,0.61,chrome,windows,0.0.7,7,7,6,male,1990-05-02,none,good experiment,30.164,5249
59,2020-07-10T15:37:16Z,2020-07-10T15:40:22Z,2020-07-10T16:25:32Z,0.42,chrome,windows,0.0.7,7,5,6,male,1983-01-19,"I did some Visual basic in College, and a little flash programming",Was something different that is for sure. My brain hurts a bit :),37.448,2896
60,2020-07-08T18:09:50Z,2020-07-08T18:12:42Z,2020-07-08T18:58:33Z,0.01,chrome,windows,0.0.6,7,7,7,male,1985-05-10,GOOD,VERY NICE,35.142,2923
61,2020-07-14T23:24:41Z,2020-07-14T23:29:38Z,2020-07-15T00:57:49Z,0.5,chrome,macos,0.0.7,7,6,6,male,1991-08-29,I have never programmed,"I found this very difficult and had a few sections where I could only determine a small portion of the rule, if at all. I felt very engaged, so I spent longer than I could have trying to figure out some of the rules. Hopefully I didn't take up too much of the time",28.839,5588
62,2020-07-14T15:38:31Z,2020-07-14T15:42:09Z,2020-07-14T16:37:46Z,0.57,chrome,windows,0.0.7,7,5,5,male,1986-01-09,"Some website building, a few simple classes.","No idea what that last one was, figured out the rest.",34.475,3555
63,2020-07-14T18:38:33Z,2020-07-14T18:40:57Z,2020-07-14T19:04:27Z,0.03,chrome,windows,0.0.7,7,6,6,male,1965-07-21,LIBERAL,NICE,54.945,1554
64,2020-07-13T14:21:29Z,2020-07-13T14:27:17Z,2020-07-13T15:48:56Z,0.54,chrome,windows,0.0.7,7,3,7,female,1992-07-02,50,interesting,27.997,5247
65,2020-07-10T15:42:36Z,2020-07-10T15:50:50Z,2020-07-10T18:31:12Z,0.34,edge,windows,0.0.7,7,7,7,male,1972-07-03,none,none,47.995,10116
66,2020-07-10T15:59:51Z,2020-07-10T16:04:48Z,2020-07-10T17:16:17Z,0.67,chrome,windows,0.0.7,7,4,7,female,1963-02-09,"I have done very little computer programming - I took a couple of classes in college but that was many, many years ago and included basic, pascal and cobol (very ancient)",I felt like there was a mistake by the computer on a couple of the number sequences but I am most likely wrong.,57.391,4586
67,2020-07-13T13:55:01Z,2020-07-13T14:18:16Z,2020-07-13T15:14:10Z,0.21,chrome,windows,0.0.7,7,4,4,male,1989-07-06,109,Good,30.986,4749
68,2020-07-13T14:26:50Z,2020-07-13T14:44:35Z,2020-07-13T15:40:49Z,0.43,chrome,windows,0.0.7,7,5,5,male,1999-07-02,yes,it was good,20.997,4439
69,2020-07-13T13:50:53Z,2020-07-13T14:21:51Z,2020-07-13T14:48:38Z,0.05,chrome,windows,0.0.7,7,6,5,male,1978-12-01,professional,none,41.582,3465
70,2020-07-13T14:21:50Z,2020-07-13T14:26:52Z,2020-07-13T15:49:30Z,0.53,chrome,macos,0.0.7,7,4,4,male,1995-01-03,beginner,nothing,25.492,5260
71,2020-07-10T18:14:31Z,2020-07-10T18:23:00Z,2020-07-10T20:55:13Z,0.51,chrome,windows,0.0.7,7,4,5,female,NA,very much,good,NA,9642
72,2020-07-13T14:22:35Z,2020-07-13T14:24:46Z,2020-07-13T15:10:24Z,0.6,chrome,windows,0.0.7,7,5,6,male,1987-06-12,None,Good experiment,33.052,2869
73,2020-07-13T13:13:04Z,2020-07-13T13:19:18Z,2020-07-13T14:22:59Z,0.46,chrome,windows,0.0.7,7,5,6,male,1960-09-21,Quite a bit as a researcher and grad student - it's been a while,"There were no problems with the survey, technical or otherwise.  Thanks for the opportunity.  It was fun and well done.",59.776,4195
74,2020-07-10T16:51:36Z,2020-07-10T16:52:11Z,2020-07-10T17:09:21Z,0.14,chrome,windows,0.0.7,7,5,6,male,1989-10-28,NA,Good,30.675,1065
75,2020-07-10T15:45:47Z,2020-07-10T15:52:35Z,2020-07-10T17:26:25Z,0.45,chrome,windows,0.0.7,7,6,7,male,1989-05-17,Very helpful.,Good and Nice.,31.123,6038
76,2020-07-13T14:20:57Z,2020-07-13T14:24:55Z,2020-07-13T15:51:25Z,0.11,chrome,windows,0.0.7,7,6,6,female,1999-07-16,1,GOOD,20.959,5428
77,2020-07-10T15:48:28Z,2020-07-10T15:52:16Z,2020-07-10T17:29:44Z,0.59,chrome,windows,0.0.7,7,4,7,male,1965-06-08,NA,NA,55.063,6076
78,2020-07-13T13:22:38Z,2020-07-13T13:46:17Z,2020-07-13T15:37:45Z,0.7,chrome,windows,0.0.7,7,6,7,male,1996-09-12,None,Interesting and very engaging task.,23.801,8107
79,2020-07-08T19:35:38Z,2020-07-08T19:38:12Z,2020-07-08T20:37:41Z,0.41,chrome,windows,0.0.6,7,7,7,male,1982-07-13,none,it's challenging but really fun. I'm fluent in English but I'm not a native. It's really hard to explain the rules I figured out. I tried my best. Thank you,37.967,3723
80,2020-07-10T16:47:14Z,2020-07-10T16:50:34Z,2020-07-10T17:50:56Z,0.03,chrome,windows,0.0.7,7,7,4,male,1987-05-15,PROFESSIONAL,HARD,33.129,3822
81,2020-07-13T14:36:17Z,2020-07-13T14:40:27Z,2020-07-13T15:07:59Z,0.75,firefox,windows,0.0.7,7,6,7,male,1990-06-21,I am a statistical programmer in SAS for my career.,"Initially had server overload issues, but once it started it seemed okay.",30.027,1902
82,2020-07-08T19:51:47Z,2020-07-08T20:03:41Z,2020-07-08T20:39:38Z,0.07,chrome,windows,0.0.6,7,4,5,female,1999-03-28,None,NO,21.26,2871
83,2020-07-10T15:56:48Z,2020-07-10T16:00:40Z,2020-07-10T16:40:42Z,0.19,chrome,windows,0.0.7,7,7,7,male,1978-05-19,only regular class in the office,very good and interesting survey,42.118,2634
84,2020-07-13T14:27:16Z,2020-07-13T14:42:32Z,2020-07-13T15:20:42Z,0.4,chrome,windows,0.0.7,7,6,7,male,1986-11-05,11,Good,33.653,3206
85,2020-07-10T16:12:25Z,2020-07-10T16:15:10Z,2020-07-10T16:48:47Z,0.52,chrome,windows,0.0.7,7,6,2,male,1999-02-14,None,NA,21.377,2182
86,2020-07-10T16:29:34Z,2020-07-10T16:34:21Z,2020-07-10T18:05:08Z,0.45,chrome,windows,0.0.7,7,6,6,female,1960-08-14,None.,"Very challenging but rewarding. Anyone with the determination that likes to be challenged would definitely like this HIT. Although, I tend to be fixated on trying to figure it out so the pay rate was very low for people like me.",59.88,5734
87,2020-07-10T17:11:04Z,2020-07-10T17:11:52Z,2020-07-10T17:36:45Z,0,chrome,windows,0.0.7,5,7,6,male,1990-05-26,like it,like it survey,30.099,1541
88,2020-07-13T13:23:39Z,2020-07-13T15:10:03Z,2020-07-13T15:56:39Z,0.39,chrome,windows,0.0.7,7,5,7,female,1993-02-12,basic programming,It was a little bit difficult because of the complex rules that were hard to comprehend in some cases,27.383,9180
89,2020-07-14T18:51:26Z,2020-07-14T18:55:22Z,2020-07-14T20:23:17Z,0.47,chrome,windows,0.0.7,7,5,5,male,1991-07-13,NONE,GOOD,28.967,5511
90,2020-07-13T14:29:02Z,2020-07-13T14:32:42Z,2020-07-13T15:39:57Z,0.36,chrome,windows,0.0.7,7,2,2,female,1986-12-10,Good,No difficulties,33.557,4255
91,2020-07-10T19:13:03Z,2020-07-10T19:18:43Z,2020-07-10T20:39:09Z,0.77,chrome,windows,0.0.7,7,6,7,female,1975-11-20,Not a whole lot. Created a few web pages about 25 years ago and that was the extent of it!,This was so much fun. I'd love to do more. Would definitely recommend it to others. Thanks for challenging my brain today :),44.612,5166
92,2020-07-14T16:01:19Z,2020-07-14T16:04:46Z,2020-07-14T16:54:21Z,0.29,chrome,windows,0.0.7,7,6,6,female,1968-09-24,NA,none,51.768,3182
93,2020-07-14T17:12:16Z,2020-07-14T17:52:30Z,2020-07-14T18:32:22Z,0.32,chrome,windows,0.0.7,7,6,7,female,1979-06-29,many,good,41.005,4806
94,2020-07-13T14:21:47Z,2020-07-13T14:27:17Z,2020-07-13T14:45:12Z,0.04,chrome,windows,0.0.7,7,7,7,male,1999-05-14,10,good,21.132,1405
95,2020-07-08T17:01:09Z,2020-07-08T17:05:04Z,2020-07-08T18:00:42Z,0.63,chrome,windows,0.0.6,7,5,7,male,1983-10-28,Casual developer. I create my own programs (small scale text processing and such) from time to time,"If possible, divulge what the computer rule was. A few of the rules seem to make no sense or are extremely difficult to figure out",36.675,3573
96,2020-07-15T01:22:27Z,2020-07-15T01:22:56Z,2020-07-15T02:43:22Z,0.23,chrome,windows,0.0.7,7,6,7,male,1983-07-15,thanks you,good,36.962,4855
97,2020-07-08T16:55:00Z,2020-07-08T16:58:02Z,2020-07-08T17:41:03Z,0.29,chrome,windows,0.0.6,7,6,6,female,1999-08-31,none,all good,20.833,2763
98,2020-07-10T15:44:48Z,2020-07-10T15:58:48Z,2020-07-10T17:52:57Z,0.81,chrome,linux,0.0.7,7,5,7,male,1986-10-29,None.,I didn't have any technical difficulties. I would definitely recommend it to others. It was fun.,33.672,7689
99,2020-07-14T19:31:20Z,2020-07-14T19:31:33Z,2020-07-14T19:51:07Z,0.46,chrome,windows,0.0.7,7,5,5,male,1982-12-18,good,good,37.536,1187
100,2020-07-13T14:32:19Z,2020-07-13T15:08:22Z,2020-07-13T16:10:36Z,0.1,chrome,windows,0.0.7,7,7,7,male,1987-07-14,none,none,32.964,5897
101,2020-07-13T14:24:47Z,2020-07-13T14:24:57Z,2020-07-13T15:29:13Z,0.32,chrome,windows,0.0.7,7,4,4,female,1999-07-16,1,GOOD,20.959,3866
102,2020-07-14T20:16:21Z,2020-07-14T20:17:43Z,2020-07-14T21:43:09Z,0.41,chrome,windows,0.0.7,7,5,6,male,1999-04-25,the programming is nice,"nothing, the survey is nice",21.184,5208
103,2020-07-10T19:46:48Z,2020-07-10T19:48:40Z,2020-07-10T20:17:48Z,0.77,chrome,windows,0.0.7,7,5,7,other,1985-01-18,A little.,I do not have any other comments.,35.451,1860
104,2020-07-10T15:37:15Z,2020-07-10T15:38:59Z,2020-07-10T16:02:19Z,0.43,chrome,windows,0.0.7,7,5,6,female,1992-02-06,none,yes i would recommend,28.399,1504
105,2020-07-08T18:48:59Z,2020-07-08T18:51:22Z,2020-07-08T19:41:14Z,0.35,chrome,windows,0.0.6,7,7,7,male,1959-11-30,none,I found it very difficult; sorry that I did not do well,60.585,3135
106,2020-07-08T16:50:13Z,2020-07-08T16:53:12Z,2020-07-08T17:34:31Z,0.64,chrome,windows,0.0.6,7,4,7,male,1978-05-01,none,bibe,42.167,2658
107,2020-07-14T18:31:21Z,2020-07-14T18:32:37Z,2020-07-14T19:05:07Z,0,chrome,windows,0.0.7,5,5,4,male,1979-10-03,good,i was really enjoy on this task,40.743,2026
108,2020-07-13T14:44:21Z,2020-07-13T14:46:31Z,2020-07-13T15:17:54Z,0.62,chrome,windows,0.0.7,7,7,2,other,1986-01-01,Took a couple of classes,I couldn't get in for 30 minutes because there were too many people or something,34.497,2013
109,2020-07-10T15:47:43Z,2020-07-10T16:35:03Z,2020-07-10T17:36:25Z,0.45,chrome,windows,0.0.7,7,6,7,NA,1990-04-01,none,none,30.249,6522
110,2020-07-10T15:37:43Z,2020-07-10T15:41:22Z,2020-07-10T16:45:39Z,0.46,chrome,windows,0.0.7,7,6,7,female,1978-04-06,none,would like to do more,42.236,4076
111,2020-07-10T16:46:03Z,2020-07-10T17:12:14Z,2020-07-10T17:52:46Z,0.77,chrome,windows,0.0.7,7,5,4,male,1986-07-17,Have knowledge of it. Because I only do work related to it.,Nothing difficulties in this task,33.956,4003
112,2020-07-13T16:49:40Z,2020-07-13T16:49:59Z,2020-07-13T16:59:58Z,0,chrome,windows,0.0.7,5,6,NA,male,1998-10-04,1,Good survey.,21.74,618
113,2020-07-08T16:56:23Z,2020-07-08T17:08:55Z,2020-07-08T18:50:06Z,0.51,chrome,windows,0.0.6,7,4,6,male,1984-11-26,None,Overall good,35.596,6823
114,2020-07-10T18:38:39Z,2020-07-10T18:40:20Z,2020-07-10T19:03:54Z,0.02,chrome,windows,0.0.7,7,4,3,male,1989-02-14,good,Nothik,31.377,1515
115,2020-07-08T18:17:28Z,2020-07-08T18:20:22Z,2020-07-08T18:46:33Z,0.72,chrome,macos,0.0.6,7,4,7,female,2001-12-05,None. I have no experience with computer programming.,I had a lot of fun doing this HIT. Thank you!!,18.571,1745
116,2020-07-14T20:39:32Z,2020-07-14T20:51:08Z,2020-07-14T22:10:28Z,0.56,chrome,windows,0.0.7,7,4,7,female,1984-07-04,That was amazing programming.,No technical issues and very interesting experiment.,35.992,5456
117,2020-07-10T16:57:45Z,2020-07-10T17:09:21Z,2020-07-10T17:46:59Z,0.62,chrome,windows,0.0.7,7,3,1,female,1978-08-24,thanks,thanks,41.852,2954
118,2020-07-10T16:08:42Z,2020-07-10T16:14:53Z,2020-07-10T16:52:57Z,0.38,chrome,windows,0.0.7,7,2,5,male,1995-07-11,very much,Nothing,24.973,2655
119,2020-07-14T18:54:16Z,2020-07-14T18:57:47Z,2020-07-14T19:26:36Z,0.78,opera,windows,0.0.7,7,3,6,male,1970-03-15,Built quite a few websites.,The HIT was interesting and I would recommend it to others. Didn't have any technical difficulties.,50.296,1940
120,2020-07-14T15:39:28Z,2020-07-14T15:44:10Z,2020-07-14T16:05:04Z,0.04,chrome,windows,0.0.7,7,4,5,male,1972-07-20,Good,Good,47.948,1536
121,2020-07-14T14:11:26Z,2020-07-14T14:28:33Z,2020-07-14T15:40:54Z,0.34,chrome,windows,0.0.7,7,6,6,male,1994-05-12,4,good,26.137,5368
122,2020-07-10T21:14:56Z,2020-07-10T21:28:46Z,2020-07-10T22:13:48Z,0.09,chrome,windows,0.0.7,7,5,5,male,1988-03-03,NA,NOTHING,32.329,3532
123,2020-07-14T18:32:28Z,2020-07-14T18:51:40Z,2020-07-14T20:36:00Z,0.41,chrome,windows,0.0.7,7,3,5,male,1990-08-30,Good program.,No difficult its very easy.,29.836,7412
