subject,beginhit,beginexp,endhit,bonus,browser,platform,codeversion,status,postquiz_difficulty,postquiz_engagement,postquiz_gender,postquiz_dob,postquiz_experience,postquiz_comments,age_yrs,total_time_s
124,2020-07-13T14:21:06Z,2020-07-13T14:32:08Z,2020-07-13T15:48:49Z,0.34,chrome,windows,0.0.7,7,5,1,female,1995-07-12,5,good,24.97,5263
125,2020-07-13T14:57:49Z,2020-07-13T15:02:12Z,2020-07-13T15:46:40Z,0.75,chrome,windows,0.0.7,7,5,7,male,1963-04-19,"I have an Associates Degree in computer programming I received in 1982, but I have not ever done it professionally or since then at all really, except for some very basic scripts dealing with DOS in the 80's.","The worked fine, there was no technical issues and it functioned properly.",57.2,2931
126,2020-07-14T14:09:35Z,2020-07-14T14:18:01Z,2020-07-14T15:21:31Z,0.67,chrome,windows,0.0.7,7,5,5,male,1985-07-02,none,Good Survey,34.997,4316
127,2020-07-13T14:22:54Z,2020-07-13T14:27:58Z,2020-07-13T14:57:04Z,0.32,chrome,windows,0.0.7,7,3,7,male,1990-09-09,developer,greatttt,29.809,2050
128,2020-07-10T19:10:14Z,2020-07-10T19:14:58Z,2020-07-10T19:37:10Z,0.16,chrome,windows,0.0.7,7,5,7,female,1983-09-14,no,no,36.795,1616
129,2020-07-10T15:47:54Z,2020-07-10T15:52:33Z,2020-07-10T16:54:06Z,0.58,chrome,windows,0.0.7,7,5,7,female,1980-12-05,None,"This was a fun and challenging HIT. I would love to see the answers for the ones I couldn't figure out. By the way, when a requester asks for my exact birthday, I expect a birthday card email, lol  ;)",39.571,3972
130,2020-07-13T13:18:13Z,2020-07-13T13:23:40Z,2020-07-13T14:36:15Z,0.58,chrome,windows,0.0.7,7,4,7,male,1983-06-14,None,Long and confusing at first but started to get the hang of it as time went on.,37.047,4682
131,2020-07-13T14:26:03Z,2020-07-13T14:26:58Z,2020-07-13T16:07:11Z,0.51,chrome,windows,0.0.7,7,6,6,male,1985-12-27,GOOD,GOOD,34.511,6068
132,2020-07-13T14:18:16Z,2020-07-13T14:30:51Z,2020-07-13T15:39:08Z,0.45,chrome,windows,0.0.7,7,5,5,male,1980-02-12,10,good,40.383,4852
133,2020-07-08T18:25:26Z,2020-07-08T18:28:06Z,2020-07-08T19:33:09Z,0.82,firefox,windows,0.0.6,7,4,7,male,1988-09-05,Just the basics.,Everything worked fine.,31.82,4063
134,2020-07-13T14:27:00Z,2020-07-13T14:30:59Z,2020-07-13T15:18:39Z,0.35,chrome,windows,0.0.7,7,7,7,male,1971-07-08,I have zero experience programming computers.,"It took about 20 minutes to gain access to the study because of a server issue but other than that, it was great.",48.981,3099
135,2020-07-10T16:24:06Z,2020-07-10T16:32:36Z,2020-07-10T18:05:20Z,0.85,chrome,windows,0.0.7,7,5,7,female,1964-09-01,I've taken programming classes 20 years ago but I don't know it anymore.  C++ and Pascal.  I do know little HTML.,"I truly enjoyed it.  I hate math but I found it fun because I love puzzles and logic.  I must have typed in wrong on some of the rounds after I figured it out.  For Round 8, I was correct on Question #9 and the numbers are out of order for the computer.  I believe that was an error because the other questions were in order except for that one so I believe it's wrong.  I do recommend it.   Took me longer than I thought but I liked it a lot.",55.831,6074
136,2020-07-13T13:50:34Z,2020-07-13T14:20:55Z,2020-07-13T15:14:45Z,0.69,chrome,windows,0.0.7,7,5,7,female,1991-12-12,none,NA,28.552,5051
137,2020-07-14T13:20:27Z,2020-07-14T13:23:42Z,2020-07-14T13:55:25Z,0.59,chrome,windows,0.0.7,7,5,7,male,1989-02-14,Very well.,none.,31.377,2098
138,2020-07-14T18:36:32Z,2020-07-14T18:38:34Z,2020-07-14T19:46:12Z,0.64,chrome,windows,0.0.7,7,4,6,female,1977-07-05,I took a beginner programming class in college about 25 years ago,Good hit.  Kinda fun!,42.989,4180
139,2020-07-14T15:55:30Z,2020-07-14T15:58:03Z,2020-07-14T16:35:52Z,0.63,chrome,windows,0.0.7,7,5,7,male,1978-06-20,none,interesting,42.03,2422
140,2020-07-13T14:25:33Z,2020-07-13T14:26:55Z,2020-07-13T14:57:06Z,0.2,chrome,windows,0.0.7,7,7,6,male,1986-08-10,Built a few personal websites,Difficult but engaging!,33.891,1893
141,2020-07-08T17:07:35Z,2020-07-08T17:34:06Z,2020-07-08T19:19:54Z,0.35,chrome,windows,0.0.6,7,6,7,male,1989-02-02,none,This study in very good,31.41,7939
142,2020-07-08T16:50:14Z,2020-07-08T17:02:49Z,2020-07-08T18:07:35Z,0.09,chrome,windows,0.0.6,7,5,6,male,1991-12-22,NA,NA,28.525,4641
143,2020-07-14T15:39:43Z,2020-07-14T15:59:15Z,2020-07-14T18:01:25Z,0.29,chrome,windows,0.0.7,7,4,4,female,1999-10-27,none,none,20.678,8502
144,2020-07-14T17:41:29Z,2020-07-14T17:55:21Z,2020-07-14T18:37:29Z,0.37,chrome,windows,0.0.7,7,7,7,female,1999-07-22,none,fun but hard,20.943,3360
145,2020-07-08T16:55:03Z,2020-07-08T16:58:31Z,2020-07-08T17:35:39Z,0.65,chrome,windows,0.0.6,7,5,5,male,1993-01-27,"Quite a bit, I work in Python.",Fun,27.426,2436
146,2020-07-13T14:51:28Z,2020-07-13T15:21:25Z,2020-07-13T15:53:43Z,0.19,chrome,windows,0.0.7,7,6,7,male,1993-11-17,some times,interesting survey....,26.62,3735
147,2020-07-08T17:21:49Z,2020-07-08T17:25:29Z,2020-07-08T18:02:41Z,0.27,chrome,windows,0.0.6,7,4,5,male,1995-11-24,NONE,Great survey! No issues!,24.601,2452
148,2020-07-13T14:23:01Z,2020-07-13T14:30:15Z,2020-07-13T14:47:27Z,0.22,chrome,windows,0.0.7,7,7,7,male,1999-08-15,10,GOOD,20.877,1466
149,2020-07-08T17:05:51Z,2020-07-08T17:18:50Z,2020-07-08T18:46:13Z,0.54,chrome,windows,0.0.6,7,6,7,male,1975-12-05,analyze data with python,No comment,44.571,6022
150,2020-07-14T14:25:23Z,2020-07-14T14:26:42Z,2020-07-14T14:53:15Z,0.08,chrome,windows,0.0.7,7,5,6,female,1999-07-14,2,GOOD,20.964,1672
151,2020-07-10T23:58:07Z,2020-07-10T23:59:40Z,2020-07-11T01:57:29Z,0.66,chrome,windows,0.0.7,7,5,6,female,1992-09-12,none,excellent,27.801,7162
152,2020-07-13T14:44:21Z,2020-07-13T14:48:49Z,2020-07-13T16:02:34Z,0.49,chrome,windows,0.0.7,7,4,7,male,1971-01-05,How do I even answer this? I've been in software testing for a while and have done some as needed for test cases. I've also done some web development.,"I loved it once I found out what kind of patterns to look for from the AI. At first, I was thinking this was more along the lines of an IQ type of thinking test (which threw me way off). Fun HIT. Thank you.",49.486,4693
153,2020-07-14T13:57:08Z,2020-07-14T14:01:23Z,2020-07-14T15:00:49Z,0.65,chrome,windows,0.0.7,7,5,7,male,1975-08-22,"Pretty much none.  I think I might have written something simple in high school, but nothing practical.",It was fine.  It was certainly challenging.  No tech issues with it.  I would certainly recommend it to anybody else.,44.858,3821
154,2020-07-10T18:46:17Z,2020-07-10T19:00:06Z,2020-07-10T19:41:23Z,0.53,chrome,windows,0.0.7,7,4,7,male,1988-07-02,very nice,"good hit, there is no difficult.",31.997,3306
155,2020-07-13T14:36:16Z,2020-07-13T14:44:41Z,2020-07-13T15:43:13Z,0.6,chrome,macos,0.0.7,7,6,7,male,1988-06-20,I have been a professional web developer for 4 years.,It was slow to load at the beginning but worked fine once I started the task.,32.03,4017
156,2020-07-08T19:50:55Z,2020-07-08T19:55:18Z,2020-07-08T20:58:57Z,0.52,chrome,windows,0.0.6,7,5,7,male,1989-07-29,Develop programer,Good and interesting,30.923,4082
157,2020-07-13T13:34:54Z,2020-07-13T14:57:22Z,2020-07-13T16:02:21Z,0.39,chrome,windows,0.0.7,7,4,7,male,1982-10-22,none,It was fair and enjoyable,37.691,8847
158,2020-07-14T16:38:00Z,2020-07-14T16:47:33Z,2020-07-14T19:02:10Z,0.62,chrome,windows,0.0.7,7,5,4,male,1965-07-07,I tried BASIC decades ago,no technical problems - this is a good HIT if you like number puzzles and things like that.,54.984,8650
159,2020-07-14T19:58:07Z,2020-07-14T19:59:31Z,2020-07-14T20:48:46Z,0.01,chrome,windows,0.0.7,7,7,4,male,2020-06-12,good survey,good,0.052,3039
160,2020-07-08T17:01:35Z,2020-07-08T17:13:15Z,2020-07-08T18:32:55Z,0.24,chrome,windows,0.0.6,7,7,5,male,1992-01-06,I have a basic understanding of computer programming,"The hit was underpaid, but there were no technical issues",28.484,5480
161,2020-07-08T20:11:25Z,2020-07-08T20:26:39Z,2020-07-08T21:05:56Z,0,chrome,windows,0.0.6,5,4,7,male,1986-07-08,very interesting,no,33.981,3271
162,2020-07-08T17:21:26Z,2020-07-08T17:23:32Z,2020-07-08T18:13:28Z,0.53,chrome,windows,0.0.6,7,4,7,male,1981-11-30,MFA in computer-based art,no comments,38.585,3122
163,2020-07-08T17:31:13Z,2020-07-08T17:32:17Z,2020-07-08T18:25:46Z,0.62,chrome,windows,0.0.6,7,6,3,male,1994-03-28,I took a class in high school and I've made a few very simple 4-5 line scripts for MTurk.,Would be nice if the pay was higher given the amount of time and mental effort required.,26.26,3273
164,2020-07-14T13:39:45Z,2020-07-14T13:51:14Z,2020-07-14T14:17:35Z,0.31,chrome,windows,0.0.7,7,5,5,male,1987-12-18,Good,Good,32.536,2270
165,2020-07-14T13:18:36Z,2020-07-14T13:19:21Z,2020-07-14T13:38:45Z,0.38,chrome,windows,0.0.7,7,5,5,male,1980-02-07,Good,Good,40.396,1209
166,2020-07-13T13:47:43Z,2020-07-13T14:04:32Z,2020-07-13T16:07:38Z,0.73,chrome,windows,0.0.7,7,2,7,male,1992-05-30,I have build a website,NA,28.088,8395
167,2020-07-10T15:50:47Z,2020-07-10T16:03:08Z,2020-07-10T17:28:13Z,0.35,chrome,windows,0.0.7,7,6,7,male,1988-05-24,very good.,its very interesting survey.,32.104,5846
168,2020-07-14T19:17:03Z,2020-07-14T19:30:11Z,2020-07-14T20:26:25Z,0.56,chrome,windows,0.0.7,7,6,7,female,1970-04-07,none,very nice and no technical issue and it also a recommended one.,50.233,4162
169,2020-07-13T13:11:56Z,2020-07-13T13:16:19Z,2020-07-13T14:57:03Z,0.35,chrome,windows,0.0.7,7,6,7,female,1990-06-02,Professional developer,none,30.079,6307
170,2020-07-14T18:09:52Z,2020-07-14T18:11:37Z,2020-07-14T18:42:35Z,0.44,chrome,windows,0.0.7,7,7,4,male,1995-12-22,A couple courses,It was interesting albeit vert diffucult I did not have any issues and i recommend the other to not let themselves be overwhelmed by the rules,24.525,1963
171,2020-07-13T14:39:48Z,2020-07-13T15:07:13Z,2020-07-13T15:38:17Z,0.07,chrome,windows,0.0.7,7,4,7,male,1989-07-16,5,The study was good,30.959,3509
172,2020-07-10T22:01:54Z,2020-07-10T22:07:38Z,2020-07-10T22:39:29Z,0.51,chrome,windows,0.0.7,7,7,7,male,1987-04-21,well,like,33.195,2255
173,2020-07-11T01:15:18Z,2020-07-11T01:21:51Z,2020-07-11T01:59:01Z,0.74,chrome,windows,0.0.7,7,4,6,male,1980-01-24,"I have taken some courses in computer programming when I was in college. I use python from time to time, and have some experience using it in a GIS environment. I have experience writing SAS code as well.",The HIT was interesting and engaging. I would recommend it with others. I am curious as to what the rule was in two of the cases where I wasn't certain of the rule.,40.434,2623
174,2020-07-14T15:42:20Z,2020-07-14T15:45:53Z,2020-07-14T16:19:49Z,0.18,chrome,windows,0.0.7,7,6,7,female,1963-07-26,"None, just tried to build a easy website years ago","It seemed to go fine for me, it was interesting. I hope I did well, I  tried my best.",56.932,2249
175,2020-07-13T14:36:52Z,2020-07-13T14:37:41Z,2020-07-13T15:07:43Z,0.7,chrome,windows,0.0.7,7,4,7,female,1990-10-10,none,it's very much fun. I enjoyed it. Thank you,29.724,1851
176,2020-07-14T16:12:37Z,2020-07-14T16:13:19Z,2020-07-14T17:08:02Z,0.05,chrome,windows,0.0.7,7,6,4,female,1999-07-01,6,GOOD,21,3325
177,2020-07-08T19:49:36Z,2020-07-08T20:10:14Z,2020-07-08T21:00:08Z,0.48,chrome,windows,0.0.6,7,7,7,male,1989-07-13,100,nothing,30.967,4232
178,2020-07-14T15:10:56Z,2020-07-14T15:14:03Z,2020-07-14T16:01:19Z,0.65,chrome,windows,0.0.7,7,7,7,male,1979-08-22,None.,NA,40.858,3023
179,2020-07-14T16:10:41Z,2020-07-14T16:16:57Z,2020-07-14T17:56:46Z,0.46,chrome,windows,0.0.7,7,1,2,male,1989-07-28,good,good,30.926,6365
180,2020-07-13T14:17:44Z,2020-07-13T14:42:25Z,2020-07-13T15:51:45Z,0,chrome,windows,0.0.7,5,4,7,female,1990-11-11,5,good,29.637,5641
181,2020-07-10T17:09:23Z,2020-07-10T17:13:44Z,2020-07-10T17:53:04Z,0.49,chrome,windows,0.0.7,7,7,7,female,1998-02-02,none,no,22.41,2621
182,2020-07-14T13:30:05Z,2020-07-14T13:35:23Z,2020-07-14T14:34:34Z,0.08,chrome,windows,0.0.7,7,7,6,male,1989-04-20,10,good,31.197,3869
183,2020-07-13T13:19:17Z,2020-07-13T14:50:52Z,2020-07-13T16:07:16Z,0.53,chrome,windows,0.0.7,7,4,6,female,1999-03-01,the computer programming well,interesting survey,21.334,10079
184,2020-07-10T16:07:22Z,2020-07-10T16:13:48Z,2020-07-10T17:28:30Z,0.1,chrome,windows,0.0.7,7,7,7,male,1954-06-29,Poor,none,66.005,4868
185,2020-07-15T02:00:34Z,2020-07-15T02:07:19Z,2020-07-15T02:39:45Z,0.16,chrome,windows,0.0.7,7,4,7,NA,1996-09-13,NA,awesome,23.798,2351
186,2020-07-14T13:29:11Z,2020-07-14T13:30:19Z,2020-07-14T14:42:08Z,0.6,chrome,windows,0.0.7,7,4,5,male,1975-05-23,ten,i like this survey...,45.107,4377
187,2020-07-08T16:51:22Z,2020-07-08T16:57:41Z,2020-07-08T19:09:57Z,0.77,chrome,windows,0.0.6,7,1,7,female,1968-10-02,professional developer,it is very knowledgeable and helpful to improve my skills,51.746,8315
188,2020-07-14T13:40:13Z,2020-07-14T13:46:54Z,2020-07-14T14:01:23Z,0.09,chrome,windows,0.0.7,7,5,6,male,2019-07-14,4,good,0.964,1270
189,2020-07-10T16:04:57Z,2020-07-10T16:36:56Z,2020-07-10T18:15:23Z,0.85,chrome,windows,0.0.7,7,7,5,male,1995-09-03,85,Very difficult,24.825,7826
190,2020-07-14T16:02:48Z,2020-07-14T16:08:32Z,2020-07-14T17:15:21Z,0.7,chrome,windows,0.0.7,7,3,6,male,1999-07-12,5,ALL ARE GREAT.,20.97,4353
191,2020-07-13T14:37:12Z,2020-07-13T14:39:45Z,2020-07-13T16:47:21Z,0.66,chrome,windows,0.0.7,7,7,7,female,1983-08-18,"yes,total different task",no,36.869,7809
192,2020-07-08T18:01:23Z,2020-07-08T18:03:55Z,2020-07-08T19:35:00Z,0.48,chrome,windows,0.0.6,7,7,7,male,1988-12-02,"I did some computer programming in High School, but very early.",Extremely difficult.,31.579,5617
193,2020-07-14T17:35:40Z,2020-07-14T17:38:38Z,2020-07-14T19:21:20Z,0.44,chrome,windows,0.0.7,7,6,6,male,1956-11-15,Ten,I like this survey.,63.626,6340
194,2020-07-14T19:38:32Z,2020-07-14T19:38:43Z,2020-07-14T19:54:39Z,0.08,chrome,windows,0.0.7,7,4,7,male,1989-08-16,5,Good,30.874,967
195,2020-07-14T13:24:38Z,2020-07-14T13:25:59Z,2020-07-14T14:22:09Z,0.29,chrome,windows,0.0.7,7,5,7,male,1989-07-19,very well.,no.,30.951,3451
196,2020-07-14T21:45:13Z,2020-07-14T21:46:51Z,2020-07-14T22:32:48Z,0.43,chrome,windows,0.0.7,7,4,7,male,1971-09-15,A lot-web developer.,"Everything went smoothly, thank you!",48.792,2855
197,2020-07-08T16:58:36Z,2020-07-08T17:03:04Z,2020-07-08T18:39:33Z,0.43,chrome,windows,0.0.6,7,7,7,male,1968-08-19,None,No,51.866,6057
198,2020-07-10T18:49:33Z,2020-07-10T18:52:44Z,2020-07-10T19:32:39Z,0.81,firefox,macos,0.0.7,7,4,7,female,1997-07-07,No programming experience.,I thought the HIT was straightforward and even when it was difficult I was fully engrossed in figuring out the rule. I also found it well-paid for the time and effort involved.,22.984,2586
199,2020-07-08T20:57:04Z,2020-07-08T21:00:17Z,2020-07-08T21:58:15Z,0.47,chrome,windows,0.0.6,7,7,7,male,1991-08-06,nonw,"Very difficult ,but enjoyable!",28.902,3671
200,2020-07-14T17:34:02Z,2020-07-14T18:21:17Z,2020-07-14T19:08:34Z,0.29,chrome,windows,0.0.7,7,6,6,female,1985-07-10,NOENE,NONE,34.975,5672
201,2020-07-13T14:07:14Z,2020-07-13T14:50:58Z,2020-07-13T15:39:50Z,0.01,chrome,windows,0.0.7,7,7,7,male,1963-10-26,none,nope,56.68,5556
202,2020-07-08T23:03:21Z,2020-07-08T23:03:36Z,2020-07-08T23:23:12Z,0.07,chrome,windows,0.0.6,7,7,7,NA,1999-07-05,Very useful..,This survey is very interesting.,20.989,1191
203,2020-07-10T17:26:30Z,2020-07-10T17:29:07Z,2020-07-10T18:33:26Z,0.14,chrome,windows,0.0.7,7,6,5,male,1953-03-29,good,good,67.258,4016
204,2020-07-14T13:21:10Z,2020-07-14T13:25:24Z,2020-07-14T14:02:49Z,0.41,chrome,windows,0.0.7,7,5,7,male,1988-06-10,2,I enjoyed this HIT.Thank you,32.058,2499
205,2020-07-14T18:22:36Z,2020-07-14T18:22:49Z,2020-07-14T18:39:47Z,0.01,chrome,windows,0.0.7,7,7,4,male,1970-04-15,10,good,50.211,1031
206,2020-07-13T14:25:47Z,2020-07-13T14:26:33Z,2020-07-13T15:37:58Z,0.05,chrome,windows,0.0.7,7,7,7,male,1989-04-27,50,very well,31.178,4331
207,2020-07-14T15:38:04Z,2020-07-14T15:40:40Z,2020-07-14T16:22:39Z,0.59,chrome,macos,0.0.7,7,7,7,female,1993-07-09,"I've worked in creative agencies with developers & have learned some things, but am not proficient.",I'd recommend it to others! Worth the time & good pay.,26.978,2675
208,2020-07-10T16:32:19Z,2020-07-10T16:35:57Z,2020-07-10T17:38:46Z,0.44,chrome,windows,0.0.7,7,6,7,male,1989-02-14,professional.,interesting.,31.377,3987
209,2020-07-10T15:42:29Z,2020-07-10T15:46:04Z,2020-07-10T16:48:30Z,0.03,chrome,windows,0.0.7,7,3,4,female,1992-07-16,NA,NA,27.959,3961
210,2020-07-13T14:23:46Z,2020-07-13T14:29:55Z,2020-07-13T15:16:19Z,0.66,chrome,windows,0.0.7,7,4,5,male,1999-07-06,YES,THE SURVEY IS VARY NICE,20.986,3153
211,2020-07-14T21:36:01Z,2020-07-14T21:36:13Z,2020-07-15T00:04:35Z,0.76,chrome,windows,0.0.7,7,3,NA,male,1990-04-01,i have using a Windows 10 portal. Say something is difficult task as i complete.,good and well wishes to participate in this study,30.249,8914
212,2020-07-13T14:39:54Z,2020-07-13T14:45:20Z,2020-07-13T15:25:00Z,0.86,chrome,windows,0.0.7,7,4,7,male,1966-06-13,None,NA,54.049,2706
213,2020-07-13T14:19:30Z,2020-07-13T14:32:09Z,2020-07-13T15:33:13Z,0.71,chrome,windows,0.0.7,7,5,7,male,1994-08-04,None,None,25.907,4423
214,2020-07-08T20:17:57Z,2020-07-08T20:25:12Z,2020-07-08T22:23:05Z,0.63,chrome,windows,0.0.6,7,6,7,female,1989-10-06,none,enjoyably difficult but very lengthy,30.735,7508
215,2020-07-14T17:30:15Z,2020-07-14T17:52:59Z,2020-07-14T18:59:39Z,0.61,firefox,windows,0.0.7,7,6,7,female,1987-04-13,None,NA,33.216,5364
216,2020-07-15T04:01:01Z,2020-07-15T04:01:30Z,2020-07-15T04:40:23Z,0,chrome,windows,0.0.7,5,2,3,NA,1988-07-06,done,very interesting survey,31.986,2362
217,2020-07-13T13:35:53Z,2020-07-13T14:53:00Z,2020-07-13T15:20:04Z,0.25,chrome,windows,0.0.7,7,5,5,male,1991-08-28,very nice,nothing,28.842,6251
218,2020-07-15T03:32:15Z,2020-07-15T04:01:24Z,2020-07-15T05:29:57Z,0.36,chrome,windows,0.0.7,7,7,6,female,1981-10-20,25,"no, very interesting , but very hard",38.697,7062
219,2020-07-10T15:43:03Z,2020-07-10T15:45:47Z,2020-07-10T16:57:42Z,0.48,chrome,linux,0.0.7,7,7,6,male,1980-10-07,hardly any,It seemed really difficult and took me a long time. I don't know if it was just me. I tried my best though.,39.732,4479
220,2020-07-10T17:11:28Z,2020-07-10T17:14:48Z,2020-07-10T18:01:57Z,0.58,firefox,windows,0.0.7,7,6,7,female,1974-12-05,No experience,Challenging hit!,45.571,3029
221,2020-07-13T14:15:24Z,2020-07-13T14:23:42Z,2020-07-13T15:36:17Z,0.46,chrome,windows,0.0.7,7,6,6,male,1985-12-27,10,GOOD,34.511,4853
222,2020-07-14T18:39:59Z,2020-07-14T18:53:25Z,2020-07-14T20:17:43Z,0.88,chrome,windows,0.0.7,7,2,3,female,1970-04-15,Windows 10 is working on the study,Good and well wishes to participate in this study,50.211,5864
223,2020-07-13T14:25:12Z,2020-07-13T14:29:13Z,2020-07-13T15:39:30Z,0.57,chrome,windows,0.0.7,7,6,7,male,1974-05-14,None!,"Loved it, but very hard on some of the questions!!!",46.132,4458
224,2020-07-11T03:45:35Z,2020-07-11T03:50:22Z,2020-07-11T05:13:07Z,0.24,chrome,windows,0.0.7,7,4,6,male,1986-04-26,NONE,"NOTHING TECHNICAL ISSUE, THIS STUDY VERY MAINDFULL SURVEY",34.181,5252
225,2020-07-13T15:14:47Z,2020-07-13T15:15:11Z,2020-07-13T16:00:43Z,0.42,chrome,windows,0.0.7,7,1,5,male,1989-01-10,109,Good,31.473,2756
226,2020-07-10T19:39:25Z,2020-07-10T19:40:24Z,2020-07-10T21:13:21Z,0.35,chrome,windows,0.0.7,7,4,5,male,1989-07-13,no,nothing,30.967,5636
227,2020-07-10T15:41:03Z,2020-07-10T15:48:22Z,2020-07-10T17:08:09Z,0.68,chrome,windows,0.0.7,7,4,7,female,1964-03-18,none,none,56.288,5226
228,2020-07-10T16:55:25Z,2020-07-10T16:58:38Z,2020-07-10T17:48:17Z,0.6,firefox,windows,0.0.7,7,5,6,female,1976-03-17,"Took BASIC in high school, tried to teach myself a bit of javascript and html/css but not much.",No difficulties. It was a bit discouraging to have the harder rules as the first few rounds (I really had no idea on some of them).,44.29,3172
229,2020-07-13T15:01:20Z,2020-07-13T15:06:08Z,2020-07-13T15:34:00Z,0.45,chrome,windows,0.0.7,7,5,6,female,1973-08-01,none,"worked well, some were challenging!",46.915,1960
230,2020-07-14T15:51:54Z,2020-07-14T15:53:50Z,2020-07-14T16:47:58Z,0.23,chrome,windows,0.0.7,7,6,7,female,1966-05-18,none,no issues,54.121,3364
231,2020-07-10T15:46:04Z,2020-07-10T15:51:13Z,2020-07-10T17:14:36Z,0.56,chrome,windows,0.0.7,7,6,6,male,1988-06-23,basic,It was really engaging but quite difficult,32.022,5312
232,2020-07-13T14:39:51Z,2020-07-13T14:42:32Z,2020-07-13T16:10:14Z,0.51,chrome,windows,0.0.7,7,6,5,female,1993-06-15,None.,It was frustrating at first until i got the hang of it.,27.044,5423
233,2020-07-10T15:42:34Z,2020-07-10T15:47:04Z,2020-07-10T16:51:02Z,0.62,chrome,macos,0.0.7,7,4,6,male,1985-02-02,Very little,No issues. I enjoyed it. There was one sequence which I really struggled with. Would be curious to what the rule was.,35.41,4108
234,2020-07-10T16:50:27Z,2020-07-10T16:58:47Z,2020-07-10T18:05:07Z,0.56,chrome,windows,0.0.7,7,5,6,male,1971-07-18,3,nice and good experience,48.954,4480
235,2020-07-10T15:39:43Z,2020-07-10T15:45:47Z,2020-07-10T17:27:14Z,0.72,chrome,windows,0.0.7,7,4,7,female,1959-03-25,None,You had one error on the last set. It is missing a #54 on about the 9th one (around there anyway),61.268,6451
236,2020-07-11T02:15:58Z,2020-07-11T02:32:16Z,2020-07-11T03:07:50Z,0.04,chrome,windows,0.0.7,7,7,7,male,1984-07-03,none,I'm sorry but those were really hard,35.995,3112
237,2020-07-08T19:49:36Z,2020-07-08T20:44:59Z,2020-07-08T21:23:35Z,0.41,firefox,windows,0.0.6,7,7,7,female,1987-11-14,None,"This HIT was different, challenging but entertaining. There were no difficulties. I think others would enjoy the challenge and I would recommend it.",32.628,5639
238,2020-07-14T15:37:54Z,2020-07-14T15:41:33Z,2020-07-14T16:53:03Z,0.54,chrome,windows,0.0.7,7,7,7,female,1967-07-28,None,All went smoothly. Thank you for that. It was difficult but fun and engaging.,52.926,4509
239,2020-07-10T15:50:08Z,2020-07-10T15:58:33Z,2020-07-10T16:28:12Z,0.23,chrome,windows,0.0.7,7,3,4,female,1997-11-24,nice done work,nice,22.601,2284
240,2020-07-08T20:38:52Z,2020-07-08T20:46:39Z,2020-07-08T21:49:44Z,0.83,chrome,macos,0.0.6,7,5,6,female,1987-02-19,None,NA,33.363,4252
241,2020-07-10T21:41:52Z,2020-07-10T21:59:31Z,2020-07-11T00:01:29Z,0.61,chrome,windows,0.0.7,7,1,7,male,1972-02-08,none,No technical difficulties.Excellent,48.393,8377
242,2020-07-10T17:06:37Z,2020-07-10T17:09:31Z,2020-07-10T17:49:50Z,0.53,chrome,windows,0.0.7,7,5,7,male,1977-10-26,None,"Not at all, thank you",42.68,2593
243,2020-07-10T18:25:16Z,2020-07-10T18:31:07Z,2020-07-10T19:33:09Z,0.78,chrome,windows,0.0.7,7,4,7,male,1976-06-01,I've been programming since I was eight years old,"This was fun/interesting, no difficulties encountered.",44.082,4073
