subject,beginhit,beginexp,endhit,bonus,browser,platform,codeversion,status,postquiz_difficulty,postquiz_engagement,postquiz_gender,postquiz_dob,postquiz_experience,postquiz_comments,age_yrs,total_time_s
244,2020-07-14T13:26:35Z,2020-07-14T13:32:48Z,2020-07-14T15:48:29Z,0.47,chrome,windows,0.0.7,7,4,4,male,1989-05-18,The survey on very interest and understand,Good,31.121,8514
245,2020-07-10T18:42:30Z,2020-07-10T18:51:28Z,2020-07-10T19:56:05Z,0.72,chrome,windows,0.0.7,7,6,6,male,1985-10-04,Educational background in electrical engineering. I know a little but don't consider myself very competent.,No issues. I enjoyed it a lot. Would recommend to fellow nerds.,34.74,4415
246,2020-07-14T18:42:48Z,2020-07-14T18:50:39Z,2020-07-14T20:38:55Z,0.59,chrome,windows,0.0.7,7,6,5,female,1990-08-01,10,very good survey,29.915,6967
247,2020-07-13T14:24:32Z,2020-07-13T14:40:43Z,2020-07-13T15:49:32Z,0.73,chrome,windows,0.0.7,7,6,7,female,1993-04-22,1,NICE,27.192,5100
248,2020-07-13T14:46:32Z,2020-07-13T15:06:26Z,2020-07-13T16:04:44Z,0.77,chrome,windows,0.0.7,7,5,7,male,1989-07-29,Good and program developing process,All are Good,30.923,4692
249,2020-07-14T18:59:42Z,2020-07-14T19:02:09Z,2020-07-14T20:06:34Z,0.58,chrome,windows,0.0.7,7,7,7,female,1999-07-15,Good,Nice,20.962,4012
250,2020-07-08T16:49:26Z,2020-07-08T16:53:43Z,2020-07-08T17:35:18Z,0.7,chrome,windows,0.0.6,7,6,7,male,1981-06-14,None,All went smoothly. Thank You,39.047,2752
251,2020-07-13T13:33:10Z,2020-07-13T14:46:14Z,2020-07-13T15:06:52Z,0.02,chrome,windows,0.0.7,7,4,7,male,1989-07-25,15,The study was good,30.934,5622
252,2020-07-10T16:23:21Z,2020-07-10T16:28:27Z,2020-07-10T17:36:35Z,0.79,chrome,macos,0.0.7,7,3,7,male,1988-07-05,I' m a computer programmer with experience of 5+ years. I did a master's in Computer science.,No difficulties.,31.989,4394
253,2020-07-10T15:46:03Z,2020-07-10T15:47:05Z,2020-07-10T18:19:47Z,0.41,chrome,macos,0.0.7,7,7,NA,male,1982-09-06,Limited,Difficult but interesting.,37.817,9224
254,2020-07-13T14:17:32Z,2020-07-13T14:20:29Z,2020-07-13T15:00:22Z,0.25,chrome,windows,0.0.7,7,6,6,male,1988-05-24,very good,some technical problem and very interesting task.,32.104,2570
255,2020-07-13T14:24:26Z,2020-07-13T14:30:37Z,2020-07-13T15:51:09Z,0.58,chrome,windows,0.0.7,7,6,7,male,1987-02-26,basic python. learned it 6 years ago,NA,33.344,5203
256,2020-07-08T20:19:43Z,2020-07-08T20:21:46Z,2020-07-08T21:28:57Z,0.49,firefox,windows,0.0.6,7,6,7,male,1984-04-17,"I have built a few websites and done a little bit of scripting, but other than that, no computer programming.","Everything worked correctly, my math skills and pattern recognition are not great, but I think I did pretty well overall! Best of luck with your research!",36.205,4154
257,2020-07-14T18:33:26Z,2020-07-14T18:40:16Z,2020-07-14T19:22:49Z,0.3,chrome,windows,0.0.7,7,5,6,female,1980-08-03,none,good task,39.91,2963
258,2020-07-08T22:36:16Z,2020-07-08T23:05:53Z,2020-07-09T00:12:20Z,0.29,chrome,windows,0.0.6,7,5,6,male,1965-03-13,its very well,really very good i like it,55.301,5764
259,2020-07-14T22:03:36Z,2020-07-14T22:08:05Z,2020-07-14T23:31:58Z,0.62,chrome,windows,0.0.7,7,6,NA,male,1989-03-19,None,n/a,31.285,5302
260,2020-07-13T14:20:09Z,2020-07-13T14:23:46Z,2020-07-13T16:07:32Z,0.43,chrome,windows,0.0.7,7,1,1,male,1989-03-08,43,good,31.315,6443
261,2020-07-14T18:31:17Z,2020-07-14T18:41:03Z,2020-07-14T20:22:39Z,0.79,chrome,windows,0.0.7,7,3,7,female,1994-12-14,none,good,25.546,6682
262,2020-07-14T15:44:14Z,2020-07-14T15:48:53Z,2020-07-14T17:11:07Z,0.47,firefox,windows,0.0.7,7,4,7,male,1987-07-02,none,yes I would recommend it,32.997,5213
263,2020-07-14T13:32:53Z,2020-07-14T13:34:58Z,2020-07-14T15:20:41Z,0.46,chrome,windows,0.0.7,7,6,5,male,1992-05-03,none,good and excellent innovative,28.162,6468
264,2020-07-13T14:52:46Z,2020-07-13T15:11:58Z,2020-07-13T16:09:04Z,0.4,chrome,windows,0.0.7,7,7,7,female,1972-02-18,NA,NA,48.366,4578
265,2020-07-08T16:50:48Z,2020-07-08T17:08:39Z,2020-07-08T17:46:30Z,0.49,chrome,windows,0.0.6,7,4,5,male,1989-08-17,None,Very nice task,30.872,3342
266,2020-07-14T13:18:18Z,2020-07-14T13:19:13Z,2020-07-14T14:00:56Z,0.67,chrome,windows,0.0.7,7,5,5,male,1989-07-31,I work is good.,very good survey,30.918,2558
267,2020-07-14T18:08:24Z,2020-07-14T18:08:34Z,2020-07-14T18:54:14Z,0.46,chrome,windows,0.0.7,7,6,5,male,1990-03-23,some questions solved,nothing,30.274,2750
268,2020-07-10T16:12:30Z,2020-07-10T16:30:35Z,2020-07-10T18:37:06Z,0.27,chrome,windows,0.0.7,7,5,3,male,1999-04-06,NA,NA,21.236,8676
269,2020-07-10T15:38:54Z,2020-07-10T15:50:38Z,2020-07-10T18:11:19Z,0.45,chrome,windows,0.0.7,7,4,5,female,1959-06-28,"I have done  programmers to hold at least a bachelor's degree in a field such as computer science, mathematics or information systems. Four years of directly related work experience is acceptable in place of a bachelors degree in many cases.",Interesting.,61.008,9145
270,2020-07-11T00:19:54Z,2020-07-11T00:23:57Z,2020-07-11T01:34:25Z,0.74,chrome,windows,0.0.7,7,3,7,female,1979-12-15,I am a professional web developer.,no issues,40.544,4471
271,2020-07-10T18:55:21Z,2020-07-10T19:03:55Z,2020-07-10T20:20:41Z,0.41,chrome,windows,0.0.7,7,4,5,male,1989-12-24,I working to the best presented in the finishing.,good,30.519,5120
272,2020-07-10T17:11:46Z,2020-07-10T17:33:18Z,2020-07-10T19:03:11Z,0.61,chrome,windows,0.0.7,7,4,5,male,1986-03-08,None,"It was very straightforward and engaging, good pay. Thank you!",34.315,6685
273,2020-07-13T15:05:39Z,2020-07-13T15:05:57Z,2020-07-13T16:00:28Z,0.14,chrome,windows,0.0.7,7,7,4,male,1990-05-10,Developer,Very difficult to understand,30.142,3289
274,2020-07-10T15:40:37Z,2020-07-10T15:44:49Z,2020-07-10T18:09:25Z,0.31,chrome,windows,0.0.7,7,6,6,female,1974-09-08,none,NA,45.811,8928
275,2020-07-14T13:21:08Z,2020-07-14T13:23:42Z,2020-07-14T13:39:22Z,0,chrome,windows,0.0.7,5,6,6,male,1987-02-12,well,liked and no technical difficulties,33.383,1094
276,2020-07-14T15:40:55Z,2020-07-14T15:48:46Z,2020-07-14T16:43:56Z,0,chrome,windows,0.0.7,5,5,7,male,1983-04-09,Very well,"No, Very interesting survey",37.227,3781
277,2020-07-14T17:03:12Z,2020-07-14T17:10:48Z,2020-07-14T18:20:55Z,0.51,chrome,windows,0.0.7,7,5,7,male,1994-01-05,none,mind task,26.486,4663
278,2020-07-13T14:20:56Z,2020-07-13T14:25:17Z,2020-07-13T15:22:27Z,0.42,chrome,windows,0.0.7,7,4,7,female,1989-03-02,little,no,31.332,3691
279,2020-07-14T19:03:28Z,2020-07-14T19:09:33Z,2020-07-14T20:13:39Z,0.07,chrome,windows,0.0.7,7,5,7,male,2020-06-12,good survey,good,0.052,4211
280,2020-07-10T16:11:14Z,2020-07-10T16:11:32Z,2020-07-10T16:23:52Z,0,chrome,windows,0.0.7,5,6,7,male,1989-04-15,Very like the program,The survey is very interesting.,31.211,758
281,2020-07-08T21:32:31Z,2020-07-08T21:32:45Z,2020-07-08T21:45:46Z,0,chrome,windows,0.0.6,5,6,7,male,1984-04-20,"Because writing code can be done anywhere, many programmers work",Survey is very different.,36.197,795
282,2020-07-10T18:39:05Z,2020-07-10T18:52:16Z,2020-07-10T19:59:52Z,0.38,chrome,windows,0.0.7,7,4,5,male,1988-05-18,yes,good,32.121,4847
283,2020-07-14T21:35:10Z,2020-07-14T21:44:18Z,2020-07-14T22:37:29Z,0.57,chrome,windows,0.0.7,7,6,6,female,1996-05-26,Ten,I like this survey,24.099,3739
284,2020-07-14T18:41:14Z,2020-07-14T18:41:30Z,2020-07-14T19:22:35Z,0,chrome,windows,0.0.7,5,5,6,female,1974-05-01,none,good,46.167,2481
285,2020-07-08T21:32:57Z,2020-07-08T21:39:01Z,2020-07-08T22:18:23Z,0.59,chrome,macos,0.0.6,7,6,5,male,1964-10-07,"a couple of programming courses in college a long, long, long, long time ago",fine,55.732,2726
286,2020-07-10T21:38:42Z,2020-07-10T21:43:07Z,2020-07-10T22:22:26Z,0,chrome,windows,0.0.7,5,1,7,male,1994-06-09,7,Quite interesting survey,26.06,2624
287,2020-07-14T13:17:48Z,2020-07-14T13:30:45Z,2020-07-14T15:15:45Z,0.34,chrome,windows,0.0.7,7,6,5,male,1985-05-30,none,nothing,35.088,7077
288,2020-07-13T14:19:57Z,2020-07-13T14:33:41Z,2020-07-13T15:01:12Z,0.06,chrome,windows,0.0.7,7,3,6,male,1990-09-09,realy well,good engarageing surver,29.809,2475
289,2020-07-08T17:59:54Z,2020-07-08T18:07:19Z,2020-07-08T19:28:42Z,0.11,chrome,linux,0.0.6,7,7,7,male,1983-09-21,"networking and system admin, but no programming",it was tough,36.776,5328
290,2020-07-10T15:39:54Z,2020-07-10T15:44:28Z,2020-07-10T16:28:21Z,0.41,chrome,windows,0.0.7,7,5,4,female,1988-03-05,90%,IT IS INTERESTING,32.323,2907
291,2020-07-13T14:21:51Z,2020-07-13T14:46:13Z,2020-07-13T15:33:26Z,0.19,chrome,windows,0.0.7,7,2,7,male,NA,10,nothing,NA,4295
292,2020-07-08T17:07:17Z,2020-07-08T17:09:47Z,2020-07-08T18:21:44Z,0.25,chrome,windows,0.0.6,7,4,4,male,1980-07-30,good,good survey,39.921,4467
293,2020-07-14T16:15:36Z,2020-07-14T16:20:26Z,2020-07-14T18:02:43Z,0.52,chrome,windows,0.0.7,7,6,7,male,1985-03-21,None,The HIT was great. I didn't face any technical difficulties while doing the HIT. I would recommend it to others.,35.279,6427
294,2020-07-08T18:07:05Z,2020-07-08T18:12:36Z,2020-07-08T20:13:46Z,0.57,chrome,windows,0.0.6,7,5,7,female,1959-12-10,None.,I didn't have any technical difficulties. I would recommend it to others.,60.557,7601
295,2020-07-10T19:09:59Z,2020-07-10T19:15:59Z,2020-07-10T20:07:45Z,0.85,chrome,windows,0.0.7,7,4,7,female,1970-04-05,Just learning to build a website right now.,Everything looks great.,50.238,3466
296,2020-07-10T15:39:46Z,2020-07-10T15:43:26Z,2020-07-10T16:48:12Z,0.81,chrome,windows,0.0.7,7,4,7,female,1981-05-07,Some programming classes. Done simple websites.,No technical difficulties.,39.151,4106
297,2020-07-08T20:35:41Z,2020-07-08T21:05:19Z,2020-07-08T22:08:26Z,0.44,chrome,windows,0.0.6,7,1,7,female,1983-05-25,computer programming in many levels.,This survey is very interesting.,37.101,5565
298,2020-07-10T16:43:19Z,2020-07-10T16:52:40Z,2020-07-10T17:21:59Z,0.83,chrome,macos,0.0.7,7,3,7,female,1980-01-03,I have a BA in computer science but am not a programmer,no issues,40.492,2320
299,2020-07-13T14:22:54Z,2020-07-13T14:24:16Z,2020-07-13T15:44:45Z,0.54,chrome,windows,0.0.7,7,5,6,female,1990-01-02,NONE,GOOD WORK,30.495,4911
300,2020-07-13T15:02:14Z,2020-07-13T15:04:20Z,2020-07-13T15:42:01Z,0.48,chrome,windows,0.0.7,7,6,7,female,1984-08-01,A lot as I hold a computer science degree.,No technical problems.,35.915,2387
301,2020-07-13T14:37:06Z,2020-07-13T14:39:20Z,2020-07-13T15:26:33Z,0.6,chrome,windows,0.0.7,7,6,7,female,1995-01-24,1 course of VB.net in high school,I had no difficulties.,25.434,2967
302,2020-07-08T18:38:42Z,2020-07-08T19:04:35Z,2020-07-08T19:52:32Z,0.1,chrome,windows,0.0.6,7,4,4,female,NA,110,nothing else,NA,4430
303,2020-07-13T15:07:49Z,2020-07-13T15:11:46Z,2020-07-13T15:47:22Z,0.69,chrome,windows,0.0.7,7,4,6,male,1964-05-06,Built a few websites using templates,No technical issues - only issue was my brain not working on a couple of them.,56.153,2373
304,2020-07-14T16:22:45Z,2020-07-14T16:27:11Z,2020-07-14T17:01:12Z,0.57,chrome,windows,0.0.7,7,2,7,male,1996-06-20,None.,NA,24.03,2307
305,2020-07-14T15:14:12Z,2020-07-14T15:18:33Z,2020-07-14T15:59:39Z,0.41,chrome,windows,0.0.7,7,6,7,male,1975-12-18,none,Hit was fine. some of those were very hard.,44.536,2727
306,2020-07-13T15:18:07Z,2020-07-13T15:19:22Z,2020-07-13T16:09:26Z,0.47,chrome,windows,0.0.7,7,1,7,NA,1993-12-12,Yes,I am like for good f eel and my answer very honest for all option so please paid for this hit thank you so much.,26.552,3079
307,2020-07-14T15:46:26Z,2020-07-14T15:46:48Z,2020-07-14T16:03:41Z,0.21,chrome,windows,0.0.7,7,5,5,male,1999-12-18,good,good,20.536,1035
308,2020-07-14T18:50:41Z,2020-07-14T19:05:37Z,2020-07-14T20:48:00Z,0.39,chrome,windows,0.0.7,7,4,5,female,1988-01-23,I think one,No all are clear and it is interesting,32.437,7039
309,2020-07-14T14:41:23Z,2020-07-14T14:41:37Z,2020-07-14T15:15:32Z,0.68,chrome,windows,0.0.7,7,5,7,male,1989-04-13,interesting,no.,31.216,2049
310,2020-07-14T13:23:15Z,2020-07-14T13:23:36Z,2020-07-14T14:00:08Z,0.41,chrome,windows,0.0.7,7,6,5,male,1985-12-27,good,good,34.511,2213
311,2020-07-15T07:06:06Z,2020-07-15T07:10:41Z,2020-07-15T08:10:57Z,0.74,chrome,windows,0.0.7,7,6,7,male,1990-08-14,took  a college class,It was an interesting and difficult task to figure out. The pay could be a little better for how annoying and long it is. I would recommend it to others.,29.88,3891
312,2020-07-14T16:14:16Z,2020-07-14T16:19:17Z,2020-07-14T18:17:11Z,0.47,chrome,windows,0.0.7,7,7,6,female,1984-12-22,none,"very hard but challenging, my mins went blank on some but caught on to others..",35.525,7375
313,2020-07-14T13:40:00Z,2020-07-14T13:52:42Z,2020-07-14T14:44:27Z,0.75,chrome,windows,0.0.7,7,1,2,female,1984-12-24,PROFESSIONAL DEVELOPERS,INTERSETING,35.519,3867
314,2020-07-08T18:32:46Z,2020-07-08T18:35:53Z,2020-07-08T19:43:10Z,0.39,chrome,windows,0.0.6,7,7,6,female,1979-10-16,none,this is longer than 45 minutes.,40.708,4224
315,2020-07-14T18:49:16Z,2020-07-14T18:59:38Z,2020-07-14T20:18:37Z,0.68,chrome,windows,0.0.7,7,4,7,male,1999-11-14,Built a website once,Was very engaging and would recommend anyone for their brain development.,20.628,5361
316,2020-07-14T15:38:56Z,2020-07-14T15:45:18Z,2020-07-14T16:49:49Z,0.57,chrome,windows,0.0.7,7,5,7,female,1988-04-18,None.,I thought it was interesting and fun. Gave me a challenege.,32.203,4253
317,2020-07-13T13:20:24Z,2020-07-13T14:36:50Z,2020-07-13T15:44:13Z,0.6,chrome,windows,0.0.7,7,4,7,female,1994-11-02,none,no,25.661,8629
318,2020-07-10T15:39:34Z,2020-07-10T15:44:01Z,2020-07-10T17:10:41Z,0.48,chrome,windows,0.0.7,7,4,6,male,1987-10-18,I did many computer programming,This hit was very well and interesting. Thank you.,32.702,5467
319,2020-07-10T16:29:18Z,2020-07-10T17:46:26Z,2020-07-10T18:13:42Z,0.6,chrome,windows,0.0.7,7,4,6,male,1998-04-29,Computer Science degree,"Very fun, no issues.",22.173,6264
320,2020-07-15T00:55:05Z,2020-07-15T01:04:45Z,2020-07-15T01:28:19Z,0,chrome,windows,0.0.7,5,5,5,male,1980-07-23,NA,very interesting this survey.,39.94,1994
321,2020-07-14T18:44:05Z,2020-07-14T18:47:38Z,2020-07-14T20:23:43Z,0.57,chrome,windows,0.0.7,7,3,5,male,1985-10-07,20,very interesting in this survey,34.732,5978
322,2020-07-14T16:38:57Z,2020-07-14T16:41:52Z,2020-07-14T17:20:48Z,0.49,chrome,windows,0.0.7,7,6,4,female,1977-03-04,Built a few websites. Taken a few programming classes.,No technical difficulties. The HIT was interesting and the pay was decent. I'd probably recommend it to others.,43.326,2511
323,2020-07-13T14:15:27Z,2020-07-13T14:17:32Z,2020-07-13T15:34:43Z,0.47,chrome,windows,0.0.7,7,5,4,male,1999-07-08,1,nothing all are good,20.981,4756
324,2020-07-08T19:00:36Z,2020-07-08T19:03:39Z,2020-07-08T19:23:46Z,0.03,chrome,windows,0.0.6,7,4,7,male,1987-07-14,"As someone who has done both college and a bootcamp,",Survey is very exciting.,32.964,1390
325,2020-07-13T14:38:25Z,2020-07-13T14:41:46Z,2020-07-13T15:16:27Z,0.35,chrome,windows,0.0.7,7,7,5,male,1989-04-20,I have no experience with programming anything.,"This was was one of the more mentally challenging hits I have ever accepted and done on mturk. It was fun overall, just wish I could have figured out all the rules.",31.197,2282
326,2020-07-13T14:15:11Z,2020-07-13T14:25:18Z,2020-07-13T16:06:54Z,0.4,chrome,windows,0.0.7,7,3,2,male,1999-07-02,YES,GOOD,20.997,6703
327,2020-07-08T17:05:22Z,2020-07-08T17:16:13Z,2020-07-08T18:00:18Z,0.07,chrome,windows,0.0.6,7,5,5,male,1999-07-08,1,no,20.981,3296
328,2020-07-10T15:37:53Z,2020-07-10T15:42:20Z,2020-07-10T16:26:24Z,0.35,chrome,windows,0.0.7,7,4,7,male,1991-04-25,None,Nice task and thanks for the opportunity,29.184,2911
329,2020-07-13T14:42:41Z,2020-07-13T14:43:00Z,2020-07-13T15:59:26Z,0.49,chrome,windows,0.0.7,7,1,2,male,1989-09-12,good,none,30.801,4605
330,2020-07-10T16:34:36Z,2020-07-10T16:37:24Z,2020-07-10T17:07:45Z,0.01,chrome,windows,0.0.7,7,7,7,male,1999-05-26,like it,like it survey,21.099,1989
331,2020-07-10T17:49:45Z,2020-07-10T17:49:50Z,2020-07-10T18:34:18Z,0,chrome,macos,0.0.7,5,1,6,female,1995-03-12,Programming,No,25.304,2673
332,2020-07-14T16:35:51Z,2020-07-14T16:36:18Z,2020-07-14T17:04:40Z,0.08,chrome,windows,0.0.7,7,5,5,male,1980-07-10,good,good,39.975,1729
333,2020-07-13T14:40:42Z,2020-07-13T14:49:49Z,2020-07-13T15:13:02Z,0.08,chrome,windows,0.0.7,7,4,4,female,1988-07-13,done,TOO GOOD I ENJOYED,31.967,1940
334,2020-07-13T13:17:05Z,2020-07-13T14:30:37Z,2020-07-13T15:26:20Z,0.56,chrome,windows,0.0.7,7,4,7,female,1991-08-23,None,Fun hit loved it,28.855,7755
335,2020-07-10T16:00:44Z,2020-07-10T16:03:19Z,2020-07-10T16:54:31Z,0.8,chrome,windows,0.0.7,7,4,7,male,1984-04-20,None.,"It was pretty enjoyable actually.  I felt really confident until the last round, which I wasn't able to solve.  I'm a math dummy, so I'm glad I was able to figure most of them out.",36.197,3227
336,2020-07-14T16:38:13Z,2020-07-14T17:09:48Z,2020-07-14T18:05:25Z,0.57,chrome,windows,0.0.7,7,4,4,male,1988-02-22,built a website once,good experience for this study. no technical difficulties,32.355,5232
337,2020-07-10T17:11:51Z,2020-07-10T17:16:31Z,2020-07-10T18:19:36Z,0.51,chrome,windows,0.0.7,7,4,7,male,1981-07-22,little,NA,38.943,4065
338,2020-07-08T16:49:35Z,2020-07-08T16:53:20Z,2020-07-08T17:42:28Z,0.61,chrome,windows,0.0.6,7,7,7,male,1972-07-03,messing around on my own but no training,very difficult but no problems,47.995,3173
339,2020-07-10T17:55:59Z,2020-07-10T17:59:06Z,2020-07-10T18:48:21Z,0.61,chrome,windows,0.0.7,7,4,7,male,1981-01-22,None.,The first word that comes to mind is refreshing. It was definitely something else. I enjoyed it.,39.44,3142
340,2020-07-14T18:52:56Z,2020-07-14T18:54:36Z,2020-07-14T21:09:37Z,0.44,chrome,windows,0.0.7,7,3,7,male,1998-03-11,i am honestly well done  computer programming,very good,22.307,8201
341,2020-07-13T14:41:36Z,2020-07-13T14:51:46Z,2020-07-13T15:48:55Z,0.66,chrome,windows,0.0.7,7,4,4,female,1967-08-01,ten,i like this survey,52.915,4039
342,2020-07-13T15:30:32Z,2020-07-13T15:36:26Z,2020-07-13T16:02:21Z,0.15,chrome,windows,0.0.7,7,5,5,NA,1987-08-20,NA,NA,32.863,1909
343,2020-07-10T15:53:22Z,2020-07-10T16:04:23Z,2020-07-10T17:42:35Z,0.24,chrome,windows,0.0.7,7,5,4,male,1951-01-24,it is very good routines experiment,no comments,69.434,6553
344,2020-07-11T03:33:03Z,2020-07-11T03:36:18Z,2020-07-11T04:20:43Z,0.35,chrome,windows,0.0.7,7,5,5,male,NA,5,4 rounds are difficult,NA,2860
345,2020-07-10T18:09:02Z,2020-07-10T18:46:52Z,2020-07-10T20:03:19Z,0.02,chrome,windows,0.0.7,7,7,6,male,1999-04-04,match answer,good,21.241,6857
346,2020-07-13T14:29:31Z,2020-07-13T14:32:19Z,2020-07-13T15:16:49Z,0.41,chrome,windows,0.0.7,7,7,6,male,1961-07-01,I have written some software in my life.,Very challenging and kind of discouraging.,59,2838
347,2020-07-14T16:26:13Z,2020-07-14T16:27:51Z,2020-07-14T17:42:49Z,0.27,chrome,windows,0.0.7,7,2,4,male,1999-07-09,none,no,20.978,4596
348,2020-07-10T15:39:26Z,2020-07-10T15:43:33Z,2020-07-10T16:31:49Z,0.35,chrome,windows,0.0.7,7,6,3,male,1990-09-13,none,no,29.798,3143
349,2020-07-14T19:23:21Z,2020-07-14T19:24:56Z,2020-07-14T20:32:35Z,0.58,chrome,windows,0.0.7,7,5,5,male,1981-08-03,10,VERY INTERESTING,38.91,4154
350,2020-07-13T13:22:06Z,2020-07-13T13:55:32Z,2020-07-13T14:50:14Z,0.08,chrome,windows,0.0.7,7,2,3,male,1990-08-07,NA,NA,29.899,5288
351,2020-07-13T14:24:18Z,2020-07-13T14:26:08Z,2020-07-13T15:18:22Z,0.47,chrome,windows,0.0.7,7,3,7,male,1990-03-11,very nice,nothing,30.307,3244
352,2020-07-10T15:46:09Z,2020-07-10T16:10:25Z,2020-07-10T18:16:22Z,0.53,chrome,windows,0.0.7,7,3,6,male,1989-09-15,I have not done any,interesting yet technical in some few parts.would recommend to others,30.792,9013
353,2020-07-14T19:39:56Z,2020-07-14T19:44:25Z,2020-07-14T20:05:24Z,0.45,chrome,windows,0.0.7,7,1,7,female,1999-10-01,Professional developer,"None,Nice experiment.",20.749,1528
354,2020-07-08T18:51:04Z,2020-07-08T18:53:59Z,2020-07-08T19:38:42Z,0.63,chrome,windows,0.0.6,7,4,7,female,1988-02-11,Bachelor's degree in Computer Science.,"It was pretty fun actually, didn't have any issues.",32.385,2858
355,2020-07-13T14:21:46Z,2020-07-13T14:23:42Z,2020-07-13T15:06:16Z,0.17,chrome,windows,0.0.7,7,7,7,female,1979-07-27,none,it was too difficult tried to catch the pattern but for each its changing,40.929,2670
356,2020-07-08T18:04:53Z,2020-07-08T18:06:39Z,2020-07-08T18:32:26Z,0.2,chrome,windows,0.0.6,7,4,7,female,1991-10-01,None,"None,nice experiment",28.749,1653
357,2020-07-14T15:49:09Z,2020-07-14T15:56:41Z,2020-07-14T16:50:29Z,0.91,chrome,windows,0.0.7,7,2,7,female,1986-01-18,I have done some programming for my job related activities.,It was awesome and more involved task and it involves engagement to find out the rule in an task. It was very interesting.,34.451,3680
358,2020-07-08T19:54:41Z,2020-07-08T20:01:41Z,2020-07-08T21:22:43Z,0.62,chrome,windows,0.0.6,7,7,7,male,1957-12-02,none,NICE,62.579,5282
359,2020-07-10T16:04:35Z,2020-07-10T16:09:39Z,2020-07-10T17:05:55Z,0.56,chrome,windows,0.0.7,7,7,7,female,1985-05-13,None.,I would recommend it to others who enjoy puzzles.,35.134,3680
360,2020-07-14T16:43:29Z,2020-07-14T16:54:45Z,2020-07-14T18:54:03Z,0.35,chrome,windows,0.0.7,7,6,5,female,1999-07-29,Nothing,This is nice task i enjoy this task.,20.923,7834
361,2020-07-13T14:24:14Z,2020-07-13T14:28:16Z,2020-07-13T15:22:26Z,0.43,chrome,windows,0.0.7,7,4,6,male,1987-04-12,I am studied computer as a degree and know about language.,This is one of interesting Hit. I lived it. Thank you.,33.219,3492
362,2020-07-14T18:48:05Z,2020-07-14T18:50:15Z,2020-07-14T19:21:22Z,0,chrome,windows,0.0.7,5,7,4,female,NA,10,Good,NA,1997
363,2020-07-11T03:06:11Z,2020-07-11T03:07:38Z,2020-07-11T03:55:39Z,0.37,chrome,windows,0.0.7,7,4,4,male,1990-08-15,they are done almost in this survey,good study in the some of the math number problem survey,29.877,2968
364,2020-07-14T19:54:30Z,2020-07-14T19:58:39Z,2020-07-14T20:55:10Z,0.34,chrome,macos,0.0.7,7,5,4,male,1991-10-07,None,I had no technical problems. The hit itself was pretty straight forward once I understood the directions. I liked the format. Made it somewhat easy to try to figure out complex problems when you realize how the information was presented. I otherwise would not have been able to figure some of these out without being able to see the solutions in real time.,28.732,3640
365,2020-07-14T13:19:07Z,2020-07-14T13:27:08Z,2020-07-14T14:30:33Z,0.26,chrome,windows,0.0.7,7,4,6,female,1967-12-14,no,no,52.546,4286
366,2020-07-10T17:04:15Z,2020-07-10T17:12:14Z,2020-07-10T18:25:06Z,0.53,chrome,windows,0.0.7,7,5,7,male,1996-08-12,None,Very interesting and engaging task too.,23.885,4851
